episode,reward,avg10,epsilon,states,transitions
158,-212.5,-234.6,0.2265,1137,72100
159,-206.2,-231.2,0.2253,1137,72600
160,-237.1,-231.1,0.2242,1137,73100
161,-236.8,-229.8,0.2231,1137,73600
162,-245.2,-229.9,0.222,1137,74100
163,-242.2,-229.9,0.2209,1137,74600
164,-240.7,-229.5,0.2198,1137,75100
165,-244.0,-229.9,0.2187,1137,75600
166,-238.6,-231.5,0.2176,1137,76100
167,-242.2,-234.5,0.2165,1137,76600
168,-237.1,-237.0,0.2154,1137,77100
169,-240.4,-240.4,0.2143,1137,77600
170,-245.5,-241.3,0.2133,1137,78100
171,-241.9,-241.8,0.2122,1137,78600
172,-235.0,-240.8,0.2111,1137,79100
173,-242.8,-240.8,0.2101,1137,79600
174,-239.5,-240.7,0.209,1137,80100
175,-241.6,-240.5,0.208,1137,80600
176,-242.5,-240.8,0.2069,1137,81100
177,-243.7,-241.0,0.2059,1137,81600
178,-232.9,-240.6,0.2049,1137,82100
179,-234.1,-239.9,0.2038,1137,82600
180,-231.7,-238.6,0.2028,1137,83100
181,-241.9,-238.6,0.2018,1137,83600
182,-237.7,-238.8,0.2008,1137,84100
183,-233.5,-237.9,0.1998,1137,84600
184,-234.4,-237.4,0.1988,1137,85100
185,-237.4,-237.0,0.1978,1137,85600
186,-243.4,-237.1,0.1968,1137,86100
187,-234.7,-236.2,0.1958,1137,86600
188,-238.6,-236.7,0.1949,1137,87100
189,-235.0,-236.8,0.1939,1137,87600
190,-233.8,-237.0,0.1929,1137,88100
191,-236.5,-236.5,0.1919,1137,88600
192,-237.1,-236.4,0.191,1137,89100
193,-232.0,-236.3,0.19,1137,89600
194,-236.5,-236.5,0.1891,1137,90100
195,-238.9,-236.6,0.1881,1137,90600
196,-238.9,-236.2,0.1872,1137,91100
197,-235.6,-236.3,0.1863,1137,91600
198,-232.9,-235.7,0.1853,1137,92100
199,-234.1,-235.6,0.1844,1137,92600
200,-234.4,-235.7,0.1835,1137,93100
201,-234.7,-235.5,0.1826,1137,93600
202,-240.7,-235.9,0.1816,1137,94100
203,-233.5,-236.0,0.1807,1137,94600
204,-237.7,-236.1,0.1798,1137,95100
205,-236.5,-235.9,0.1789,1137,95600
206,-69.5,-219.0,0.178,1215,96100
207,-238.0,-219.2,0.1772,1218,96600
208,-237.4,-219.6,0.1763,1219,97100
209,-247.6,-221.0,0.1754,1220,97600
210,-242.2,-221.8,0.1745,1220,98100
211,-245.8,-222.9,0.1736,1220,98600
212,-255.2,-224.3,0.1728,1226,99100
213,-245.5,-225.5,0.1719,1230,99600
214,-143.3,-216.1,0.171,1263,100100
215,-176.4,-210.1,0.1702,1272,100600
216,-2100.4,-413.2,0.1693,1315,101100
217,1595.7,-229.8,0.1685,1368,101600
218,1511.0,-55.0,0.1676,1369,102100
219,-250.0,-55.2,0.1668,1369,102600
220,-250.0,-56.0,0.166,1369,103100
221,-250.0,-56.4,0.1651,1369,103600
222,-259.4,-56.8,0.1643,1371,104100
