episode,reward,avg10,epsilon,states,transitions
621,-600.0,-600.0,0.0977,1841,303112
622,-600.0,-600.0,0.0972,1841,303612
623,-600.0,-600.0,0.0967,1841,304112
624,-600.0,-600.0,0.0962,1841,304612
625,-600.0,-600.0,0.0958,1841,305112
626,-600.0,-600.0,0.0953,1841,305612
627,-600.0,-600.0,0.0948,1841,306112
628,-600.0,-600.0,0.0943,1841,306612
629,-600.0,-600.0,0.0939,1841,307112
630,-600.0,-600.0,0.0934,1841,307612
631,-600.0,-600.0,0.0929,1841,308112
632,-600.0,-600.0,0.0925,1841,308612
633,-600.0,-600.0,0.092,1841,309112
634,-600.0,-600.0,0.0915,1841,309612
635,-600.0,-600.0,0.0911,1841,310112
636,-600.0,-600.0,0.0906,1841,310612
637,-600.0,-600.0,0.0902,1841,311112
638,-600.0,-600.0,0.0897,1841,311612
639,-600.0,-600.0,0.0893,1841,312112
640,-600.0,-600.0,0.0888,1841,312612
641,-600.0,-600.0,0.0884,1841,313112
642,-600.0,-600.0,0.0879,1841,313612
643,-600.0,-600.0,0.0875,1841,314112
644,-600.0,-600.0,0.0871,1841,314612
645,-600.0,-600.0,0.0866,1841,315112
646,-600.0,-600.0,0.0862,1841,315612
647,-600.0,-600.0,0.0858,1841,316112
648,-600.0,-600.0,0.0853,1841,316612
649,-600.0,-600.0,0.0849,1841,317112
650,-600.0,-600.0,0.0845,1841,317612
651,-600.0,-600.0,0.0841,1841,318112
652,-600.0,-600.0,0.0836,1841,318612
653,-600.0,-600.0,0.0832,1841,319112
654,-600.0,-600.0,0.0828,1841,319612
655,-600.0,-600.0,0.0824,1841,320112
656,-600.0,-600.0,0.082,1841,320612
657,-600.0,-600.0,0.0816,1841,321112
658,-600.0,-600.0,0.0812,1841,321612
659,-600.0,-600.0,0.0808,1841,322112
660,-600.0,-600.0,0.0804,1841,322612
661,-600.0,-600.0,0.08,1841,323112
662,-600.0,-600.0,0.08,1841,323612
663,-600.0,-600.0,0.08,1841,324112
664,-600.0,-600.0,0.08,1841,324612
665,-600.0,-600.0,0.08,1841,325112
666,-604.0,-600.4,0.08,1841,325612
667,-600.0,-600.4,0.08,1841,326112
668,-600.0,-600.4,0.08,1841,326612
669,-600.0,-600.4,0.08,1841,327112
670,-600.0,-600.4,0.08,1841,327612
671,-600.0,-600.4,0.08,1841,328112
672,-600.0,-600.4,0.08,1841,328612
673,-600.0,-600.4,0.08,1841,329112
674,-600.0,-600.4,0.08,1841,329612
675,-600.0,-600.4,0.08,1841,330112
676,-600.0,-600.0,0.08,1841,330612
677,-600.0,-600.0,0.08,1841,331112
678,-600.0,-600.0,0.08,1841,331612
679,-600.0,-600.0,0.08,1841,332112
680,-600.0,-600.0,0.08,1841,332612
681,-600.0,-600.0,0.1194,1841,333112
682,-600.0,-600.0,0.1188,1841,333612
683,-600.0,-600.0,0.1182,1841,334112
684,-600.0,-600.0,0.1176,1841,334612
685,-600.0,-600.0,0.117,1841,335112
686,-98.0,-98.0,0.1194,1928,335612
687,-187.0,-142.5,0.1188,2006,336112
688,-95.0,-126.7,0.1182,2082,336612
689,-94.0,-118.5,0.1176,2148,337112
690,228.0,-49.2,0.117,2227,337612
691,-195.0,-73.5,0.1164,2270,338112
692,38.0,-57.6,0.1159,2351,338612
693,-102.0,-63.1,0.1153,2425,339112
694,129.0,-41.8,0.1147,2492,339612
695,-39.0,-41.5,0.1141,2564,340112
696,-90.0,-40.7,0.1136,2623,340612
697,-364.0,-58.4,0.113,2688,341112
698,194.0,-29.5,0.1124,2767,341612
699,-121.0,-32.2,0.1119,2841,342112
700,-2.0,-55.2,0.1113,2927,342612
701,171.0,171.0,0.1194,2989,343112
702,-12.0,79.5,0.1188,3079,343612
703,-204.0,-15.0,0.1182,3150,344112
704,-285.0,-82.5,0.1176,3228,344612
705,17.0,-62.6,0.117,3306,345112
706,-4.0,-52.8,0.1164,3376,345612
707,133.5,-26.2,0.1159,3487,346112
708,-368.0,-68.9,0.1153,3539,346612
709,277.0,-30.5,0.1147,3600,347112
710,-109.0,-38.3,0.1141,3690,347612
711,23.0,-53.1,0.1136,3778,348112
712,28.0,-49.1,0.113,3859,348612
713,163.0,-12.4,0.1124,3947,349112
714,34.0,19.5,0.1119,4020,349612
715,-2.0,17.6,0.1113,4081,350112
716,-9.0,17.1,0.1108,4143,350612
717,293.0,33.0,0.1102,4236,351112
718,-299.0,39.9,0.1096,4310,351612
719,-5.0,11.7,0.1091,4395,352112
720,162.0,38.8,0.1086,4449,352612
721,-204.5,16.1,0.108,4521,353112
722,47.0,18.0,0.1075,4619,353612
723,104.0,12.1,0.1069,4689,354112
724,-65.0,2.2,0.1064,4756,354612
725,-98.0,-7.4,0.1059,4844,355112
726,-41.0,-10.6,0.1053,4928,355612
727,-528.0,-92.7,0.1048,4993,356112
728,61.0,-56.7,0.1043,5057,356612
729,135.0,-42.7,0.1038,5149,357112
730,-195.0,-78.4,0.1032,5212,357612
731,221.0,-35.9,0.1027,5291,358112
732,299.0,-10.7,0.1022,5375,358612
733,123.0,-8.8,0.1017,5437,359112
734,-61.0,-8.4,0.1012,5482,359612
735,-259.0,-24.5,0.1007,5556,360112
736,520.0,31.6,0.1002,5577,360612
737,-88.0,75.6,0.0997,5644,361112
738,-25.0,67.0,0.0992,5725,361612
739,-208.0,32.7,0.0987,5795,362112
740,-347.0,17.5,0.0982,5868,362612
741,498.0,45.2,0.0977,5954,363112
742,995.0,114.8,0.0972,6043,363612
743,-232.0,79.3,0.0967,6133,364112
744,-173.0,68.1,0.0962,6183,364612
745,-129.0,81.1,0.0958,6248,365112
746,-95.5,19.5,0.0953,6305,365612
747,210.0,49.3,0.0948,6410,366112
748,59.0,57.7,0.0943,6492,366612
749,-197.0,58.8,0.0939,6550,367112
750,-142.0,79.3,0.0934,6610,367612
751,187.0,48.2,0.0929,6689,368112
752,-274.0,-78.6,0.0925,6759,368612
753,64.0,-49.0,0.092,6849,369112
754,605.0,28.8,0.0915,6932,369612
755,-282.0,13.5,0.0911,7000,370112
756,-242.8,-1.3,0.0906,7024,370306
757,-111.0,-33.4,0.0902,7091,370806
758,150.0,-24.3,0.0897,7157,371306
759,-138.6,-18.4,0.0893,7170,371389
760,-275.0,-31.7,0.0888,7236,371889
761,-168.0,-67.2,0.0884,7299,372389
762,153.0,-24.5,0.0879,7385,372889
763,75.0,-23.4,0.0875,7464,373389
764,-11.0,-85.0,0.0871,7541,373889
765,49.0,-51.9,0.0866,7632,374389
