Country,OrgSize,DevType,AISelect,YearsCode,YearsCodePro,CodingActivities,ConvertedCompYearly
USA,medium_size,back_end,yes,medium,medium,no_code_as_hobby,high
USA,medium_size,full_stack,plan_to,medium,medium,codes_as_hobby,medium
USA,medium_size,full_stack,yes,medium,medium,codes_as_hobby,high
USA,medium_size,back_end,yes,medium,medium,no_code_as_hobby,high
USA,medium_size,full_stack,no,medium,medium,codes_as_hobby,low
USA,medium_size,front_end,no,medium,medium,codes_as_hobby,medium
USA,medium_size,back_end,yes,medium,medium,codes_as_hobby,low
USA,medium_size,back_end,plan_to,medium,medium,no_code_as_hobby,low
USA,medium_size,back_end,plan_to,medium,medium,no_code_as_hobby,low
USA,medium_size,full_stack,plan_to,medium,medium,no_code_as_hobby,low
USA,medium_size,back_end,no,medium,medium,no_code_as_hobby,medium
USA,medium_size,back_end,yes,medium,medium,no_code_as_hobby,high
USA,medium_size,back_end,no,medium,medium,codes_as_hobby,very_high
USA,medium_size,front_end,no,medium,medium,codes_as_hobby,low
USA,medium_size,back_end,plan_to,medium,medium,codes_as_hobby,high
USA,medium_size,full_stack,no,medium,medium,codes_as_hobby,low
USA,medium_size,front_end,no,medium,medium,codes_as_hobby,very_high
USA,medium_size,full_stack,no,medium,medium,codes_as_hobby,very_high
USA,medium_size,back_end,plan_to,medium,medium,codes_as_hobby,low
USA,medium_size,full_stack,plan_to,medium,medium,no_code_as_hobby,medium
USA,medium_size,applications,no,medium,medium,codes_as_hobby,medium
USA,medium_size,back_end,plan_to,medium,medium,no_code_as_hobby,high
USA,medium_size,full_stack,no,medium,medium,no_code_as_hobby,very_high
USA,medium_size,full_stack,plan_to,medium,medium,no_code_as_hobby,high
USA,medium_size,full_stack,yes,medium,medium,codes_as_hobby,very_high
USA,medium_size,back_end,plan_to,medium,medium,codes_as_hobby,medium
USA,medium_size,full_stack,no,medium,medium,no_code_as_hobby,low
USA,medium_size,full_stack,plan_to,medium,medium,codes_as_hobby,low
USA,medium_size,embedded,no,medium,medium,codes_as_hobby,low
USA,medium_size,front_end,plan_to,medium,medium,no_code_as_hobby,very_high
USA,medium_size,back_end,yes,medium,medium,codes_as_hobby,medium
USA,medium_size,full_stack,yes,medium,medium,no_code_as_hobby,medium
USA,medium_size,mobile,yes,medium,medium,codes_as_hobby,very_high
USA,medium_size,full_stack,yes,medium,medium,no_code_as_hobby,low
USA,medium_size,full_stack,yes,medium,medium,codes_as_hobby,low
USA,medium_size,full_stack,yes,medium,medium,codes_as_hobby,low
USA,medium_size,embedded,plan_to,medium,medium,codes_as_hobby,low
USA,medium_size,front_end,yes,medium,medium,codes_as_hobby,low
USA,medium_size,back_end,plan_to,medium,medium,no_code_as_hobby,high
USA,medium_size,mobile,yes,medium,medium,no_code_as_hobby,medium
USA,medium_size,full_stack,plan_to,medium,medium,no_code_as_hobby,medium
USA,medium_size,full_stack,no,medium,medium,codes_as_hobby,medium
USA,medium_size,applications,yes,medium,medium,no_code_as_hobby,low
USA,medium_size,full_stack,yes,medium,medium,codes_as_hobby,medium
USA,medium_size,full_stack,plan_to,medium,medium,codes_as_hobby,very_high
USA,medium_size,back_end,plan_to,medium,medium,codes_as_hobby,medium
USA,medium_size,full_stack,yes,medium,medium,codes_as_hobby,medium
USA,medium_size,front_end,plan_to,medium,medium,no_code_as_hobby,very_high
USA,medium_size,full_stack,yes,medium,medium,no_code_as_hobby,medium
USA,medium_size,applications,plan_to,medium,medium,codes_as_hobby,low
USA,medium_size,back_end,yes,medium,medium,no_code_as_hobby,very_high
USA,medium_size,back_end,no,medium,medium,codes_as_hobby,very_high
USA,medium_size,full_stack,no,medium,medium,codes_as_hobby,medium
USA,medium_size,applications,yes,medium,medium,codes_as_hobby,high
USA,medium_size,full_stack,yes,medium,medium,no_code_as_hobby,high
USA,medium_size,back_end,plan_to,medium,medium,no_code_as_hobby,medium
USA,medium_size,back_end,yes,medium,medium,codes_as_hobby,high
USA,medium_size,full_stack,no,medium,medium,codes_as_hobby,medium
USA,medium_size,full_stack,yes,medium,medium,no_code_as_hobby,medium
USA,medium_size,back_end,plan_to,medium,medium,no_code_as_hobby,very_high
USA,medium_size,full_stack,plan_to,medium,medium,codes_as_hobby,high
USA,medium_size,back_end,no,medium,medium,no_code_as_hobby,high
USA,medium_size,back_end,plan_to,medium,medium,codes_as_hobby,low
USA,medium_size,full_stack,no,medium,medium,codes_as_hobby,medium
USA,medium_size,full_stack,no,medium,medium,no_code_as_hobby,very_high
USA,medium_size,back_end,no,medium,medium,codes_as_hobby,high
USA,medium_size,full_stack,plan_to,medium,medium,codes_as_hobby,low
USA,medium_size,full_stack,yes,medium,medium,codes_as_hobby,medium
USA,medium_size,mobile,no,medium,medium,no_code_as_hobby,low
USA,medium_size,full_stack,plan_to,medium,medium,no_code_as_hobby,high
USA,medium_size,back_end,yes,medium,medium,codes_as_hobby,low
USA,medium_size,mobile,yes,medium,medium,codes_as_hobby,high
USA,medium_size,mobile,no,medium,medium,no_code_as_hobby,medium
USA,medium_size,back_end,plan_to,medium,medium,codes_as_hobby,medium
USA,medium_size,full_stack,yes,medium,medium,codes_as_hobby,very_high
USA,medium_size,front_end,yes,medium,medium,no_code_as_hobby,low
USA,medium_size,back_end,plan_to,medium,medium,codes_as_hobby,very_high
USA,medium_size,full_stack,yes,medium,medium,codes_as_hobby,high
USA,medium_size,full_stack,plan_to,medium,medium,codes_as_hobby,low
USA,medium_size,full_stack,yes,medium,medium,codes_as_hobby,medium
USA,medium_size,full_stack,no,medium,medium,codes_as_hobby,medium
USA,medium_size,full_stack,no,medium,medium,no_code_as_hobby,low
USA,medium_size,full_stack,yes,medium,medium,codes_as_hobby,low
USA,medium_size,full_stack,yes,medium,medium,codes_as_hobby,very_high
USA,medium_size,front_end,no,medium,medium,no_code_as_hobby,high
USA,medium_size,back_end,no,medium,medium,no_code_as_hobby,very_high
USA,medium_size,front_end,no,medium,medium,codes_as_hobby,very_high
USA,medium_size,full_stack,plan_to,medium,medium,no_code_as_hobby,low
USA,medium_size,full_stack,yes,medium,medium,codes_as_hobby,medium
USA,medium_size,full_stack,no,medium,medium,no_code_as_hobby,low
USA,medium_size,full_stack,yes,medium,medium,no_code_as_hobby,medium
USA,medium_size,front_end,plan_to,medium,medium,codes_as_hobby,very_high
USA,medium_size,front_end,yes,medium,medium,no_code_as_hobby,low
USA,medium_size,full_stack,no,medium,medium,codes_as_hobby,low
USA,medium_size,back_end,no,medium,medium,codes_as_hobby,low
USA,medium_size,back_end,no,medium,medium,codes_as_hobby,very_high
USA,medium_size,front_end,plan_to,medium,medium,no_code_as_hobby,low
USA,medium_size,full_stack,yes,medium,medium,no_code_as_hobby,very_high
USA,medium_size,front_end,plan_to,medium,medium,no_code_as_hobby,high
USA,medium_size,front_end,plan_to,medium,medium,no_code_as_hobby,high
USA,medium_size,full_stack,no,medium,medium,no_code_as_hobby,low
USA,medium_size,full_stack,no,medium,medium,codes_as_hobby,medium
USA,medium_size,back_end,yes,medium,medium,codes_as_hobby,very_high
USA,medium_size,full_stack,yes,medium,medium,codes_as_hobby,very_high
USA,medium_size,full_stack,yes,medium,medium,no_code_as_hobby,low
USA,medium_size,full_stack,plan_to,medium,medium,codes_as_hobby,low
USA,medium_size,full_stack,no,medium,medium,no_code_as_hobby,medium
USA,medium_size,full_stack,yes,medium,medium,codes_as_hobby,low
USA,medium_size,full_stack,yes,medium,medium,codes_as_hobby,low
USA,medium_size,front_end,plan_to,medium,medium,codes_as_hobby,medium
USA,medium_size,full_stack,no,medium,medium,codes_as_hobby,low
USA,medium_size,full_stack,yes,medium,medium,codes_as_hobby,medium
USA,medium_size,back_end,yes,medium,medium,codes_as_hobby,high
USA,medium_size,experience,plan_to,medium,medium,no_code_as_hobby,very_high
USA,medium_size,full_stack,yes,medium,medium,codes_as_hobby,medium
USA,medium_size,full_stack,yes,medium,medium,codes_as_hobby,low
USA,medium_size,full_stack,yes,medium,medium,no_code_as_hobby,high
USA,medium_size,full_stack,no,medium,medium,codes_as_hobby,medium
USA,medium_size,applications,no,medium,medium,no_code_as_hobby,low
USA,medium_size,back_end,yes,medium,medium,codes_as_hobby,medium
USA,medium_size,experience,yes,medium,medium,codes_as_hobby,high
USA,medium_size,front_end,yes,medium,medium,codes_as_hobby,low
USA,medium_size,back_end,yes,medium,medium,codes_as_hobby,low
USA,medium_size,back_end,yes,medium,medium,no_code_as_hobby,medium
USA,medium_size,front_end,plan_to,medium,medium,codes_as_hobby,high
USA,medium_size,full_stack,plan_to,medium,medium,codes_as_hobby,medium
USA,medium_size,full_stack,yes,medium,medium,codes_as_hobby,low
USA,medium_size,embedded,no,medium,medium,codes_as_hobby,low
USA,medium_size,full_stack,yes,medium,medium,codes_as_hobby,low
USA,medium_size,full_stack,yes,medium,medium,codes_as_hobby,high
USA,medium_size,back_end,no,medium,medium,no_code_as_hobby,medium
USA,medium_size,back_end,yes,medium,medium,no_code_as_hobby,high
USA,medium_size,back_end,plan_to,medium,medium,no_code_as_hobby,high
USA,medium_size,full_stack,no,medium,medium,codes_as_hobby,medium
USA,medium_size,back_end,plan_to,medium,medium,no_code_as_hobby,very_high
USA,medium_size,full_stack,no,medium,medium,no_code_as_hobby,low
USA,medium_size,back_end,yes,medium,medium,codes_as_hobby,medium
USA,medium_size,full_stack,yes,medium,medium,codes_as_hobby,medium
USA,medium_size,applications,no,medium,medium,codes_as_hobby,medium
USA,medium_size,full_stack,yes,medium,medium,codes_as_hobby,low
USA,medium_size,full_stack,plan_to,medium,medium,no_code_as_hobby,low
USA,medium_size,full_stack,plan_to,medium,medium,codes_as_hobby,low
USA,medium_size,back_end,no,medium,medium,no_code_as_hobby,very_high
USA,medium_size,full_stack,no,medium,medium,no_code_as_hobby,very_high
USA,medium_size,full_stack,no,medium,medium,codes_as_hobby,low
USA,medium_size,front_end,yes,medium,medium,codes_as_hobby,medium
USA,medium_size,advocate,yes,medium,medium,codes_as_hobby,high
